CASE_ID,FCUBS Ref No
CRL_APPLICANT ADDRESS_Value,"APPLICANT ADDRESS1, APPLICANT ADDRESS2, APPLICANT ADDRESS3"
CRL_APPLICANT COUNTRY_Value,APPLICANT COUNTRY
CRL_APPLICANT NAME_Value,APPLICANT NAME
CRL_BENEFICIARY ACCOUNT NO / IBAN_Value,BENEFICIARY ACCOUNT NO / IBAN
CRL_BENEFICIARY ADDRESS_Value,"BENEFICIARY ADDRESS1, BENEFICIARY ADDRESS2"
CRL_BENEFICIARY BANK ADDRESS_Value,"BENEFICAIRY BANK ADDRESS1, BENEFICAIRY BANK ADDRESS2"
CRL_BENEFICIARY BANK SWIFT CODE / SORT CODE/ BSB / IFS CODE_Value,BENEFICAIRY BANK SWIFT CODE / SORT CODE/ BSB / IFS CODE
CRL_BENEFICIARY BANK_Value,BENEFICARY BANK
CRL_BENEFICIARY COUNTRY_Value,BENEFICIARY COUNTRY
CRL_BENEFICIARY NAME_Value,BENEFICIARY NAME
CRL_CURRENCY AND AMOUNT OF REMITTANCE IN WORDS_Value,REMITTANCE CURRENCY
CRL_CUSTOMER REQUEST LETTER DATE_Value,CUSTOMER REQUEST LETTER DATE
CRL_DATE & TIME OF RECEIPT OF DOCUMENT_Value,DATE OF RECEIPT OF DOCUMENT
CRL_DEBIT ACCOUNT NO_Value,DEBIT ACCOUNT NO
CRL_DELIVERY PORT_Value,SHIP TO PORT NAME
CRL_DESCRIPTION OF GOODS_Value,DESCRIPTION OF GOODS
CRL_DISPATCH PORT_Value,Port of Discharge
CRL_FB CHARGES_Value,FB CHARGES
CRL_FEE ACCOUNT NO_Value,FEE ACCOUNT NO
CRL_HS CODE_Value,HSN CODE
CRL_IMPORT LICENSE DETAILS_Value,LICENSE NUMBER
CRL_INCO TERM_Value,INCOTERM
CRL_INTERMEDIARY BANK ADDRESS_Value,"INTERMEDIARY BANK ADDRESS1, INTERMEDIARY BANK ADDRESS2"
CRL_INTERMEDIARY BANK COUNTRY_Value,INTERMEDIARY BANK COUNTRY
CRL_INTERMEDIARY BANK NAME_Value,INTERMEDIARY BANK NAME
CRL_INVOICE DATE_Value,INVOICE Date
CRL_INVOICE NO_Value,INVOICE Number
CRL_INVOICE VALUE_Value,INVOICE Amount
CRL_LATEST SHIPMENT DATE_Value,LATEST SHIPMENT DATE
CRL_REMITTANCE AMOUNT_Value,REMITTANCE AMOUNT
CRL_REMITTANCE CURRENCY_Value,REMITTANCE CURRENCY
CRL_TYPE OF GOODS_Value,Type of Goods
INVOICE_BENEFICIARY ACCOUNT NO / IBAN_Value,BENEFICIARY ACCOUNT NO / IBAN-57
INVOICE_BENEFICIARY BANK ADDRESS_Value,"BENEFICAIRY BANK ADDRESS1, BENEFICAIRY BANK ADDRESS2"
INVOICE_BENEFICIARY BANK SWIFT CODE / SORT CODE/ BSB / IFS CODE / ROUTING NO_Value,BENEFICAIRY BANK SWIFT CODE / SORT CODE/ BSB / IFS CODE
INVOICE_BENEFICIARY BANK_Value,BENEFICARY BANK
INVOICE_BUYER ADDRESS_Value,"APPLICANT ADDRESS1, APPLICANT ADDRESS2, APPLICANT ADDRESS3"
INVOICE_BUYER COUNTRY_Value,APPLICANT COUNTRY
INVOICE_BUYER NAME_Value,APPLICANT NAME
INVOICE_Beneficiary Address_Value,"BENEFICIARY ADDRESS1, BENEFICIARY ADDRESS2"
INVOICE_Beneficiary Name_Value,BENEFICIARY NAME
INVOICE_DESCRIPTION OF GOODS_Value,DESCRIPTION OF GOODS
INVOICE_HS CODE_Value,HSN CODE
INVOICE_INCO TERM_Value,INCOTERM
INVOICE_INTERMEDIARY BANK ADDRESS_Value,"INTERMEDIARY BANK ADDRESS1, INTERMEDIARY BANK ADDRESS2"
INVOICE_INTERMEDIARY BANK COUNTRY_Value,INTERMEDIARY BANK COUNTRY
INVOICE_INTERMEDIARY BANK NAME_Value,INTERMEDIARY BANK NAME
INVOICE_INVOICE AMOUNT/VALUE_Value,INVOICE Amount
INVOICE_INVOICE CURRENCY_Value,INVOICE Currency
INVOICE_INVOICE DATE_Value,INVOICE Date
INVOICE_INVOICE NO_Value,INVOICE Number
INVOICE_Invoice Amount_Value,INVOICE Amount
INVOICE_MODE OF REMITTANCE_Value,REMITTANCE AMOUNT
INVOICE_PORT OF DISCHARGE_Value,Port of Discharge
INVOICE_PORT OF LOADING_Value,Port of Loading
INVOICE_Party Country ( Beneficiary )_Value,Beneficiary Country
INVOICE_Party Country ( Beneficiary Bank )_Value,Beneficiary Bank
INVOICE_Party Name ( Applicant )_Value,Applicant Name
INVOICE_Party Name ( Beneficiary )_Value,Beneficiary Name
INVOICE_Party Name ( Beneficiary Bank )_Value,Beneficiary Bank
INVOICE_Party Type ( Beneficiary Bank )_Value,Beneficiary Bank
INVOICE_Total INVOICE Amount_Value,INVOICE Amount
